type,question,answer,explanation
Family_YesNo,Lenny Kravitz có phải là cha/mẹ của Sy Kravitz không?,No,"Sai, Lenny Kravitz là con của Sy Kravitz."
2-hop_CoActor,Emily Stofle và Bruce Lee có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Christine Baumgartner có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Lisa Kudrow và Raven-Symoné có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
MCQ_Director,"Ai là đạo diễn của phim 'Old'?
A. Steven Soderbergh
B. Beyoncé
C. Kevin Costner
D. M. Night Shyamalan",D,Đạo diễn của 'Old' là M. Night Shyamalan.
Family_YesNo,Nicolas Cage có phải là cha/mẹ của August Coppola không?,No,"Sai, Nicolas Cage là con của August Coppola."
MCQ_Director,"Ai là đạo diễn của phim 'Insidious: Chapter 2'?
A. Stephen Hillenburg
B. John Francis Daley
C. James Wan
D. Paul Thomas Anderson",C,Đạo diễn của 'Insidious: Chapter 2' là James Wan.
1-hop_YesNo,Michael Bloomberg có tham gia bộ phim 'Sex and the City' không?,Yes,"Đúng, Michael Bloomberg là diễn viên trong phim Sex and the City."
2-hop_CoActor,Jaimie Alexander và Daniel Henney có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Last Stand'."
2-hop_CoActor,Rob Delaney và Connie Britton có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Emily Stofle và Dave Willis có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Stephen Root và Allison Janney có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,Philip Seymour Hoffman có phải là cha/mẹ của Marilyn O'Connor không?,No,"Sai, Philip Seymour Hoffman là con của Marilyn O'Connor."
2-hop_CoActor,Zachary Quinto và LaKeith Stanfield có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
MCQ_Director,"Ai là đạo diễn của phim 'Green Dragon'?
A. Timothy Linh Bui
B. Bradley Cooper
C. Ben Affleck
D. Shawn Levy",A,Đạo diễn của 'Green Dragon' là Timothy Linh Bui.
Family,Cha/Mẹ của Patrick Swayze là ai?,Jesse Wayne Swayze,Jesse Wayne Swayze là cha/mẹ của Patrick Swayze.
2-hop_CoActor,Emily Stofle và Joe Costner có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Isaac Hayes có tham gia bộ phim 'Dr. Dolittle 2' không?,Yes,"Đúng, Isaac Hayes là diễn viên trong phim Dr. Dolittle 2."
2-hop_CoActor,Emily Stofle và Sasha Spielberg có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Dark Shadows'?
A. Patty Jenkins
B. Damien Chazelle
C. Tim Burton
D. Seth Rogen",C,Đạo diễn của 'Dark Shadows' là Tim Burton.
2-hop_CoActor,Emily Stofle và Michael Douglas có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Bill Paxton và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'True Lies'."
MCQ_Director,"Ai là đạo diễn của phim 'The Boy Next Door'?
A. Rich Moore
B. Wang Leehom
C. Rob Cohen
D. David Schwimmer",C,Đạo diễn của 'The Boy Next Door' là Rob Cohen.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Score' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Score."
Family_YesNo,"Stephen Colbert có phải là cha/mẹ của James William Colbert, Jr. không?",No,"Sai, Stephen Colbert là con của James William Colbert, Jr.."
2-hop_CoActor,Emily Stofle và Michael Bloomberg có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Anjelica Huston là ai?,John Huston,John Huston là cha/mẹ của Anjelica Huston.
1-hop_YesNo,Sigourney Weaver có tham gia bộ phim 'Annie Hall' không?,Yes,"Đúng, Sigourney Weaver là diễn viên trong phim Annie Hall."
2-hop_CoActor,Emily Stofle và Anne Stringfield có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Melinda Ledbetter có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Noah'?
A. Adam McKay
B. Wang Leehom
C. Darren Aronofsky
D. Steven Spielberg",C,Đạo diễn của 'Noah' là Darren Aronofsky.
1-hop_YesNo,Jonah Hill có tham gia bộ phim 'The Wolf of Wall Street' không?,Yes,"Đúng, Jonah Hill là diễn viên trong phim The Wolf of Wall Street."
2-hop_CoActor,Emily Stofle và Elizabeth West có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Cowboys & Aliens' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Cowboys & Aliens."
MCQ_Director,"Ai là đạo diễn của phim 'Doctor Strange in the Multiverse of Madness'?
A. James Gunn
B. Sam Raimi
C. Zack Snyder
D. Drake Doremus",B,Đạo diễn của 'Doctor Strange in the Multiverse of Madness' là Sam Raimi.
MCQ_Director,"Ai là đạo diễn của phim 'Avengers: Age of Ultron'?
A. Ben Stiller
B. Joss Whedon
C. Donnie Yen
D. Brad Bird",B,Đạo diễn của 'Avengers: Age of Ultron' là Joss Whedon.
Family_YesNo,Dwayne Johnson có phải là cha/mẹ của Ata Johnson không?,No,"Sai, Dwayne Johnson là con của Ata Johnson."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Ghost Rider' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Ghost Rider."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'First Blood' không?,No,"Sai, Martha Lynch Levacy không tham gia phim First Blood."
MCQ_Director,"Ai là đạo diễn của phim 'The Thing'?
A. Greg Berlanti
B. Scott Derrickson
C. Barry Jenkins
D. John Carpenter",D,Đạo diễn của 'The Thing' là John Carpenter.
MCQ_Director,"Ai là đạo diễn của phim 'The Adventures of Tintin: The Secret of the Unicorn'?
A. Q2444076
B. Steven Spielberg
C. George Clooney
D. Todd Phillips",B,Đạo diễn của 'The Adventures of Tintin: The Secret of the Unicorn' là Steven Spielberg.
2-hop_CoActor,Emily Stofle và Powers Boothe có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,David Letterman có tham gia bộ phim 'Miss Americana' không?,Yes,"Đúng, David Letterman là diễn viên trong phim Miss Americana."
1-hop_YesNo,Rob Schneider có tham gia bộ phim 'Home Alone 2: Lost in New York' không?,Yes,"Đúng, Rob Schneider là diễn viên trong phim Home Alone 2: Lost in New York."
1-hop_YesNo,Mandy Moore có tham gia bộ phim 'Dr. Dolittle 2' không?,Yes,"Đúng, Mandy Moore là diễn viên trong phim Dr. Dolittle 2."
Family_YesNo,Todd Fisher có phải là cha/mẹ của Debbie Reynolds không?,No,"Sai, Todd Fisher là con của Debbie Reynolds."
MCQ_Director,"Ai là đạo diễn của phim 'The Hurricane Heist'?
A. Wang Leehom
B. Rob Cohen
C. Oliver Stone
D. Colin Trevorrow",B,Đạo diễn của 'The Hurricane Heist' là Rob Cohen.
Family_YesNo,Liev Schreiber có phải là cha/mẹ của Tell Schreiber không?,No,"Sai, Liev Schreiber là con của Tell Schreiber."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Snowden' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Snowden."
Family_YesNo,Robert Downey Jr. có phải là cha/mẹ của Robert Downey Sr. không?,No,"Sai, Robert Downey Jr. là con của Robert Downey Sr.."
MCQ_Director,"Ai là đạo diễn của phim 'Hotel Artemis'?
A. James Gunn
B. Drew Pearce
C. Tim Miller
D. Denzel Washington",B,Đạo diễn của 'Hotel Artemis' là Drew Pearce.
Family_YesNo,Ed Harris có phải là cha/mẹ của Bob L. Harris không?,No,"Sai, Ed Harris là con của Bob L. Harris."
Family_YesNo,Roman Reigns có phải là cha/mẹ của Sika Anoa'i không?,No,"Sai, Roman Reigns là con của Sika Anoa'i."
Family_YesNo,Crispin Glover có phải là cha/mẹ của Bruce Glover không?,No,"Sai, Crispin Glover là con của Bruce Glover."
Family_YesNo,Rebecca De Mornay có phải là cha/mẹ của Julie Eager không?,No,"Sai, Rebecca De Mornay là con của Julie Eager."
1-hop_YesNo,Matt Damon có tham gia bộ phim 'The Departed' không?,Yes,"Đúng, Matt Damon là diễn viên trong phim The Departed."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Movie 43' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Movie 43."
1-hop_YesNo,Samuel L. Jackson có tham gia bộ phim 'Jurassic Park' không?,Yes,"Đúng, Samuel L. Jackson là diễn viên trong phim Jurassic Park."
1-hop_YesNo,Brendan Fraser có tham gia bộ phim 'Killers of the Flower Moon' không?,Yes,"Đúng, Brendan Fraser là diễn viên trong phim Killers of the Flower Moon."
2-hop_CoActor,Dolph Lundgren và Terry Crews có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 2'."
Family_YesNo,Robert Downey Jr. có phải là cha/mẹ của Elsie Downey không?,No,"Sai, Robert Downey Jr. là con của Elsie Downey."
Family,Cha/Mẹ của Alan Taylor là ai?,James J. Taylor,James J. Taylor là cha/mẹ của Alan Taylor.
MCQ_Director,"Ai là đạo diễn của phim 'Cowboys & Aliens'?
A. Scott Derrickson
B. Jon Favreau
C. Stan Winston
D. Dan Gilroy",B,Đạo diễn của 'Cowboys & Aliens' là Jon Favreau.
2-hop_CoActor,Nicole Kidman và Connie Britton có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family,Cha/Mẹ của Richard Gere là ai?,Homer George Gere,Homer George Gere là cha/mẹ của Richard Gere.
Family,Cha/Mẹ của Ben Stiller là ai?,Jerry Stiller,Jerry Stiller là cha/mẹ của Ben Stiller.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Superman' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Superman."
MCQ_Director,"Ai là đạo diễn của phim 'Inglourious Basterds'?
A. Seth Rogen
B. Chris Buck
C. Akiva Schaffer
D. Q3772",D,Đạo diễn của 'Inglourious Basterds' là Q3772.
Family_YesNo,Jon Gries có phải là cha/mẹ của Tom Gries không?,No,"Sai, Jon Gries là con của Tom Gries."
2-hop_CoActor,Emily Stofle và Jacqueline Goddet có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Us'?
A. John Francis Daley
B. Jordan Peele
C. John Hamburg
D. Tommy Lee Jones",B,Đạo diễn của 'Us' là Jordan Peele.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Maggie' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Maggie."
2-hop_CoActor,Arnold Schwarzenegger và Raven-Symoné có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
2-hop_CoActor,Emily Stofle và Jim Hanks có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Josh Duhamel có phải là cha/mẹ của Bonnie L. Kemper không?,No,"Sai, Josh Duhamel là con của Bonnie L. Kemper."
2-hop_CoActor,Charlize Theron và Connie Britton có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Donald Trump có tham gia bộ phim 'Miss Americana' không?,Yes,"Đúng, Donald Trump là diễn viên trong phim Miss Americana."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'American Hustle' không?,No,"Sai, Martha Lynch Levacy không tham gia phim American Hustle."
2-hop_CoActor,Emily Stofle và Tallulah Willis có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Pirates of the Caribbean: At World's End'?
A. Aaron Toronto
B. Rich Moore
C. Gore Verbinski
D. Bradley Cooper",C,Đạo diễn của 'Pirates of the Caribbean: At World's End' là Gore Verbinski.
MCQ_Director,"Ai là đạo diễn của phim 'The Batman'?
A. Byron Howard
B. Christopher Reeve
C. Matt Reeves
D. Michael Bay",C,Đạo diễn của 'The Batman' là Matt Reeves.
2-hop_CoActor,J. K. Simmons và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Terminator Genisys'."
Family,Cha/Mẹ của Ansel Elgort là ai?,Grethe Barrett Holby,Grethe Barrett Holby là cha/mẹ của Ansel Elgort.
MCQ_Director,"Ai là đạo diễn của phim 'Transformers One'?
A. Frank Oz
B. Josh Cooley
C. Robert Zemeckis
D. Jon Watts",B,Đạo diễn của 'Transformers One' là Josh Cooley.
Family,Cha/Mẹ của Demián Bichir là ai?,Maricruz Nájera,Maricruz Nájera là cha/mẹ của Demián Bichir.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Sin City' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Sin City."
MCQ_Director,"Ai là đạo diễn của phim 'The Amazing Spider-Man'?
A. Ava DuVernay
B. Rob Cohen
C. Matt Reeves
D. Marc Webb",D,Đạo diễn của 'The Amazing Spider-Man' là Marc Webb.
2-hop_CoActor,Kelsey Grammer và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
1-hop_YesNo,John DiMaggio có tham gia bộ phim 'Little Fockers' không?,Yes,"Đúng, John DiMaggio là diễn viên trong phim Little Fockers."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Ninja Assassin' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Ninja Assassin."
Family_YesNo,Christian Bale có phải là cha/mẹ của Jenny James không?,No,"Sai, Christian Bale là con của Jenny James."
2-hop_CoActor,Emily Stofle và Rob Reiner có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Terry Crews có tham gia bộ phim 'The Expendables' không?,Yes,"Đúng, Terry Crews là diễn viên trong phim The Expendables."
2-hop_CoActor,50 Cent và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Escape Plan'."
2-hop_CoActor,Emily Stofle và Bill Murray có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Kyle MacLachlan là ai?,Catherine MacLachlan,Catherine MacLachlan là cha/mẹ của Kyle MacLachlan.
2-hop_CoActor,Emily Stofle và Laraine Marie Brennan có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Brooke Shields là ai?,Francis Alexander Shields,Francis Alexander Shields là cha/mẹ của Brooke Shields.
1-hop_YesNo,Kevin Hart có tham gia bộ phim 'Little Fockers' không?,Yes,"Đúng, Kevin Hart là diễn viên trong phim Little Fockers."
Family,Cha/Mẹ của Jeff Bridges là ai?,Lloyd Bridges,Lloyd Bridges là cha/mẹ của Jeff Bridges.
1-hop_YesNo,Philip Seymour Hoffman có tham gia bộ phim 'Scent of a Woman' không?,Yes,"Đúng, Philip Seymour Hoffman là diễn viên trong phim Scent of a Woman."
MCQ_Director,"Ai là đạo diễn của phim 'Fly Me to the Moon'?
A. Joss Whedon
B. Greg Berlanti
C. Ron Howard
D. Gary Trousdale",B,Đạo diễn của 'Fly Me to the Moon' là Greg Berlanti.
1-hop_YesNo,Adam Sandler có tham gia bộ phim 'Jack and Jill' không?,Yes,"Đúng, Adam Sandler là diễn viên trong phim Jack and Jill."
1-hop_YesNo,Ewan McGregor có tham gia bộ phim 'Big Fish' không?,Yes,"Đúng, Ewan McGregor là diễn viên trong phim Big Fish."
2-hop_CoActor,Emily Stofle và Bridget Rooney có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Isaac Hayes và Mandy Moore có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
Family_YesNo,David Spade có phải là cha/mẹ của Wayne M. Spade không?,No,"Sai, David Spade là con của Wayne M. Spade."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Expendables 3' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Expendables 3."
2-hop_CoActor,Emily Stofle và Deborah Eisenberg có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Kevin Bacon có phải là cha/mẹ của Ruth Hilda Holmes không?,No,"Sai, Kevin Bacon là con của Ruth Hilda Holmes."
Family,Cha/Mẹ của Luke Benward là ai?,Aaron Benward,Aaron Benward là cha/mẹ của Luke Benward.
1-hop_YesNo,Robert Forster có tham gia bộ phim 'Mulholland Drive' không?,Yes,"Đúng, Robert Forster là diễn viên trong phim Mulholland Drive."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Inferno' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Inferno."
Family,"Cha/Mẹ của ""Weird Al"" Yankovic là ai?",Mary Yankovic,"Mary Yankovic là cha/mẹ của ""Weird Al"" Yankovic."
2-hop_CoActor,Emily Stofle và Frank Oz có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Sally Field là ai?,Margaret Field,Margaret Field là cha/mẹ của Sally Field.
2-hop_CoActor,Emily Stofle và Catherine Zeta-Jones có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Chris Rock có tham gia bộ phim 'Amsterdam' không?,Yes,"Đúng, Chris Rock là diễn viên trong phim Amsterdam."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'One Flew Over the Cuckoo's Nest' không?,No,"Sai, Martha Lynch Levacy không tham gia phim One Flew Over the Cuckoo's Nest."
